country,amr_driver,policy_agenda_1,policy_agenda_2,policy_strategic_objective_1,policy_strategic_objective_2,policy_specific_actions_1,policy_specific_actions_2,evaluation_round,objective_interaction,objective_interpretation,implementation_interaction,implementation_interpretation
Ethiopia,discharge of waste from anthropogenic activities,AMR-01,SDG-02,"Improve awareness on the risk of leftover antimicrobials, pesticides, insecticides and heavy metal contaminants in the environment",To increase the total annual quantity of crop production in all production systems,"Implemented policy framework and guidelines on safe disposal of antimicrobials, pesticides, insecticides and heavy metals at the community level 

Develop and disseminate awareness-raising materials on environmental waste management for farmers, human and animal health facilities, farms and food handlers

Organize sensitization workshops to improve adherence to proper disposal of unfit-for-use antimicrobials from farms, human and animal health facilities and other hazardous wastes","reduce the demand for chemical fertilizers by promoting the use of natural fertilizers like compost and improving land management methods.

increase the application of pesticides from 15.4 thousand litters to 100  thousand litters against invasive pests and from 4.9 million litters to 5.5  million litters against regular pests;",1,Conflict,"Policy AMR-01 seeks to reduce environmental contamination by raising awareness and promoting proper disposal of antimicrobials and pesticides, whereas SDG-02 aims to increase crop yields by substantially boosting pesticide application. One policy drives down the discharge‐of‐waste driver while the other drives it up, creating opposing pressures.",One-sided conflict,"SDG-02’s increased pesticide use will produce more leftover chemicals and hazardous waste, making it harder for AMR-01’s disposal frameworks and awareness activities to achieve proper waste management. By contrast, AMR-01’s disposal guidelines do not significantly impede SDG-02’s goal of higher pesticide application."
Ethiopia,discharge of waste from anthropogenic activities,AMR-01,SDG-02,"Improve awareness on the risk of leftover antimicrobials, pesticides, insecticides and heavy metal contaminants in the environment",To increase the total annual quantity of crop production in all production systems,"Implemented policy framework and guidelines on safe disposal of antimicrobials, pesticides, insecticides and heavy metals at the community level 

Develop and disseminate awareness-raising materials on environmental waste management for farmers, human and animal health facilities, farms and food handlers

Organize sensitization workshops to improve adherence to proper disposal of unfit-for-use antimicrobials from farms, human and animal health facilities and other hazardous wastes","reduce the demand for chemical fertilizers by promoting the use of natural fertilizers like compost and improving land management methods.

increase the application of pesticides from 15.4 thousand litters to 100  thousand litters against invasive pests and from 4.9 million litters to 5.5  million litters against regular pests;",2,Conflict,"Policy 1 aims to reduce environmental discharge of antimicrobials, pesticides, insecticides and heavy metals by raising awareness and promoting safe disposal, whereas Policy 2’s objective to boost crop production—particularly via a large increase in pesticide use—will push the same driver (chemical discharge) in the opposite direction, creating tension between them.",One-sided conflict,"Policy 2’s implementation of massively increasing pesticide application generates more chemical residues and leftover pesticides, which makes the safe‐disposal and community‐awareness activities under Policy 1 harder to carry out effectively. Policy 1’s disposal guidelines and workshops do not facilitate or ease the rollout of Policy 2’s fertilizer or pesticide targets, resulting in a one‐sided conflict."
Ethiopia,discharge of waste from anthropogenic activities,AMR-01,SDG-02,"Improve awareness on the risk of leftover antimicrobials, pesticides, insecticides and heavy metal contaminants in the environment",To increase the total annual quantity of crop production in all production systems,"Implemented policy framework and guidelines on safe disposal of antimicrobials, pesticides, insecticides and heavy metals at the community level 

Develop and disseminate awareness-raising materials on environmental waste management for farmers, human and animal health facilities, farms and food handlers

Organize sensitization workshops to improve adherence to proper disposal of unfit-for-use antimicrobials from farms, human and animal health facilities and other hazardous wastes","reduce the demand for chemical fertilizers by promoting the use of natural fertilizers like compost and improving land management methods.

increase the application of pesticides from 15.4 thousand litters to 100  thousand litters against invasive pests and from 4.9 million litters to 5.5  million litters against regular pests;",3,Conflict,"Policy 1’s objective centers on reducing environmental contamination by improving awareness and disposal of antimicrobials, pesticides, insecticides and heavy metals, whereas Policy 2’s objective is to increase crop production. Although both touch on the same broad sector (agricultural practices) and may influence the discharge of waste, their stated objectives pursue different primary outcomes and do not inherently push the shared driver in the same or directly opposing direction.",One-sided conflict,"Policy 1 implements safe disposal frameworks and awareness activities to reduce chemical and antimicrobial residues entering the environment. Policy 2’s implementation, by substantially increasing pesticide application rates, will generate more pesticide-laden waste and environmental residues, thereby undermining or complicating the disposal and contamination-reduction efforts of Policy 1. Policy 1 does not, however, impede Policy 2’s production-focused measures."
Ethiopia,discharge of waste from anthropogenic activities,AMR-01,SDG-02,"Improve awareness on the risk of leftover antimicrobials, pesticides, insecticides and heavy metal contaminants in the environment",To increase the total annual quantity of crop production in all production systems,"Implemented policy framework and guidelines on safe disposal of antimicrobials, pesticides, insecticides and heavy metals at the community level 

Develop and disseminate awareness-raising materials on environmental waste management for farmers, human and animal health facilities, farms and food handlers

Organize sensitization workshops to improve adherence to proper disposal of unfit-for-use antimicrobials from farms, human and animal health facilities and other hazardous wastes","reduce the demand for chemical fertilizers by promoting the use of natural fertilizers like compost and improving land management methods.

increase the application of pesticides from 15.4 thousand litters to 100  thousand litters against invasive pests and from 4.9 million litters to 5.5  million litters against regular pests;",4,Independent,"Policy 1 seeks to reduce environmental contamination by improving disposal of antimicrobials and related chemicals, while Policy 2 aims at boosting crop yield without explicit linkage to waste management; their strategic goals operate in different domains and do not directly influence each other’s intended impact on the driver.",One-sided conflict,"Policy 2’s push to substantially increase pesticide application generates larger volumes of chemical residues, which counteracts Policy 1’s safe-disposal efforts and makes adherence to its guidelines more difficult, whereas Policy 1’s measures do not facilitate the intensified pesticide use promoted by Policy 2."
Ethiopia,discharge of waste from anthropogenic activities,AMR-01,SDG-02,"Improve awareness on the risk of leftover antimicrobials, pesticides, insecticides and heavy metal contaminants in the environment",To increase the total annual quantity of crop production in all production systems,"Implemented policy framework and guidelines on safe disposal of antimicrobials, pesticides, insecticides and heavy metals at the community level 

Develop and disseminate awareness-raising materials on environmental waste management for farmers, human and animal health facilities, farms and food handlers

Organize sensitization workshops to improve adherence to proper disposal of unfit-for-use antimicrobials from farms, human and animal health facilities and other hazardous wastes","reduce the demand for chemical fertilizers by promoting the use of natural fertilizers like compost and improving land management methods.

increase the application of pesticides from 15.4 thousand litters to 100  thousand litters against invasive pests and from 4.9 million litters to 5.5  million litters against regular pests;",5,Independent,"Policy 1 focuses on raising awareness and ensuring safe disposal of antimicrobials and chemical wastes, while Policy 2’s primary aim is to boost crop production by altering fertilizer and pesticide use. Although both touch on environmental contaminants, their strategic priorities differ and there is no clear, shared direction toward reducing discharge of waste from anthropogenic activities at the objective level.",One-sided conflict,"Policy 2’s expansion of pesticide use increases the volume of chemical waste that must be managed, making it harder for Policy 1’s guidelines and awareness activities to achieve proper disposal. Policy 1 does not materially facilitate or hinder the intensified agricultural practices of Policy 2, resulting in a one-sided conflict."
Ethiopia,discharge of waste from anthropogenic activities,AMR-03,SDG-02,"Promote, implement and enforce proper waste management at the community level",To increase the total annual quantity of crop production in all production systems,"Promote and enforce safe human excreta disposal and functional improved latrines in communities

Promote and enforce hazardous waste management in health facilities","reduce the demand for chemical fertilizers by promoting the use of natural fertilizers like compost and improving land management methods.

increase the application of pesticides from 15.4 thousand litters to 100  thousand litters against invasive pests and from 4.9 million litters to 5.5  million litters against regular pests;",1,Independent,"Policy 1’s objective targets reduction of waste discharge through improved sanitation and hazardous waste management, whereas Policy 2’s objective focuses on boosting crop production without addressing waste or residue management directly. Thus, their strategic goals do not align or conflict regarding the same driver.",One-sided conflict,"Policy 2’s measures to increase pesticide application will generate additional chemical residues that complicate the waste streams Policy 1 must manage, whereas Policy 1’s sanitation and health‐facility waste programs do not impede or facilitate Policy 2’s fertilizer and pesticide practices."
Ethiopia,discharge of waste from anthropogenic activities,AMR-03,SDG-02,"Promote, implement and enforce proper waste management at the community level",To increase the total annual quantity of crop production in all production systems,"Promote and enforce safe human excreta disposal and functional improved latrines in communities

Promote and enforce hazardous waste management in health facilities","reduce the demand for chemical fertilizers by promoting the use of natural fertilizers like compost and improving land management methods.

increase the application of pesticides from 15.4 thousand litters to 100  thousand litters against invasive pests and from 4.9 million litters to 5.5  million litters against regular pests;",2,Independent,"Policy AMR-03 explicitly targets reducing anthropogenic waste discharge through community and health-facility waste management, whereas SDG-02 focuses on raising crop yields without a clear direction on waste discharge. SDG-02’s use of compost could reduce synthetic fertilizer residues but its strong push for increased pesticide use may add to waste streams, and neither outcome is defined in its objective. Thus, their objectives impact the same driver but in ways that are unlikely to directly reinforce or counterbalance each other based on the stated goals.",Independent,"AMR-03’s instruments center on sanitation infrastructure (latrines, human excreta disposal) and hazardous waste in health facilities, whereas SDG-02’s implementation promotes compost use and higher pesticide applications in agriculture. There is no operational overlap or mutual influence between enforcing community/health-facility waste rules and agricultural fertilizer or pesticide practices, so neither policy’s rollout facilitates or impedes the other."
Ethiopia,discharge of waste from anthropogenic activities,AMR-03,SDG-02,"Promote, implement and enforce proper waste management at the community level",To increase the total annual quantity of crop production in all production systems,"Promote and enforce safe human excreta disposal and functional improved latrines in communities

Promote and enforce hazardous waste management in health facilities","reduce the demand for chemical fertilizers by promoting the use of natural fertilizers like compost and improving land management methods.

increase the application of pesticides from 15.4 thousand litters to 100  thousand litters against invasive pests and from 4.9 million litters to 5.5  million litters against regular pests;",3,Independent,"Policy AMR-03 aims to reduce anthropogenic waste discharge through community‐level sanitation and hazardous waste management, whereas SDG-02 focuses on increasing crop yields via natural fertilizers and boosted pesticide use. Their objectives impact the same driver through different pathways—with mixed reduction and increase in chemical inputs—but do not clearly push the driver in a single shared direction or directly oppose each other.",Independent,"The implementation of AMR-03 (improved latrines, safe excreta disposal, health‐facility waste management) does not affect SDG-02’s agricultural measures (compost promotion, land management, pesticide application), nor vice versa, indicating no interaction between their implementation processes."
Ethiopia,discharge of waste from anthropogenic activities,AMR-03,SDG-02,"Promote, implement and enforce proper waste management at the community level",To increase the total annual quantity of crop production in all production systems,"Promote and enforce safe human excreta disposal and functional improved latrines in communities

Promote and enforce hazardous waste management in health facilities","reduce the demand for chemical fertilizers by promoting the use of natural fertilizers like compost and improving land management methods.

increase the application of pesticides from 15.4 thousand litters to 100  thousand litters against invasive pests and from 4.9 million litters to 5.5  million litters against regular pests;",4,Independent,"Policy AMR-03 seeks to reduce anthropogenic waste through community-level sanitation and hazardous waste management, whereas SDG-02 aims to boost crop production. SDG-02’s measures include reduced synthetic fertilizer use (which could decrease nutrient runoff) but also increased pesticide application (which may increase chemical residues). The core objectives—waste reduction versus production increase—do not push the shared driver of waste discharge clearly in the same or opposite direction, and there is insufficient overlap in their stated goals to conclude alignment or conflict.",Independent,"AMR-03’s implementation focuses on latrines, safe excreta disposal, and health-facility hazardous waste management, while SDG-02’s relies on promoting compost, improved land management, and expanded pesticide use. These instruments operate in separate domains (community sanitation vs. agricultural input practices) and neither directly facilitates nor impedes the other’s rollout."
Ethiopia,discharge of waste from anthropogenic activities,AMR-03,SDG-02,"Promote, implement and enforce proper waste management at the community level",To increase the total annual quantity of crop production in all production systems,"Promote and enforce safe human excreta disposal and functional improved latrines in communities

Promote and enforce hazardous waste management in health facilities","reduce the demand for chemical fertilizers by promoting the use of natural fertilizers like compost and improving land management methods.

increase the application of pesticides from 15.4 thousand litters to 100  thousand litters against invasive pests and from 4.9 million litters to 5.5  million litters against regular pests;",5,Independent,"Policy 1’s objective is to reduce discharge of waste from anthropogenic activities through improved sanitation and hazardous waste management, whereas Policy 2’s objective is to increase crop production. The objective statements do not clearly align or directly oppose each other with respect to waste discharge, making their interaction on the shared driver indeterminate.",One-sided conflict,"Policy 2’s plan to substantially increase pesticide application will generate additional hazardous residues and packaging waste that must be managed, thereby complicating and burdening the waste collection and disposal systems promoted by Policy 1. Policy 1’s waste management measures do not facilitate Policy 2’s agricultural implementation, resulting in a one-sided conflict."
Ethiopia,discharge of waste from anthropogenic activities,AMR-01,AMR-04,"Improve awareness on the risk of leftover antimicrobials, pesticides, insecticides and heavy metal contaminants in the environment","Strengthen the regulatory system in the human, animal, food and feed production and the environment sectors","Advocate for the implementation of the policy on safe disposal of antimicrobials, pesticides, insecticides, and heavy metals at the community level.

Develop and disseminate awareness-raising materials on environmental waste management for farmers, human and animal health facilities, farms, and food handlers.

Improve adherence to proper disposal of unfit-for-use antimicrobials from farms, human and animal health facilities, and other hazardous wastes through sensitization workshops.","Ensure proper disposal of unfit-for-use antimicrobials and 
laboratory supplies 
Establish standards for waste discharge and treatment from 
manufacturing and food processing plants and human and animal health care settings 
",1,Align,"Both policies seek to reduce the release of hazardous wastes (antimicrobials, pesticides, insecticides, heavy metals) into the environment. Policy 1 does this by raising awareness of contaminants and proper disposal, while Policy 2 does so by strengthening regulatory oversight and establishing discharge and treatment standards. Both drive the same AMR driver in the same direction, producing cumulative benefits.",Mutual benefit,"Policy 1’s advocacy, educational materials, and workshops raise stakeholder awareness and drive demand for clear rules, making it easier to implement Policy 2’s disposal requirements and discharge standards. Conversely, Policy 2’s formal standards and regulatory framework give substance and authority to the awareness campaigns of Policy 1, reinforcing community buy-in and compliance."
Ethiopia,discharge of waste from anthropogenic activities,AMR-01,AMR-04,"Improve awareness on the risk of leftover antimicrobials, pesticides, insecticides and heavy metal contaminants in the environment","Strengthen the regulatory system in the human, animal, food and feed production and the environment sectors","Advocate for the implementation of the policy on safe disposal of antimicrobials, pesticides, insecticides, and heavy metals at the community level.

Develop and disseminate awareness-raising materials on environmental waste management for farmers, human and animal health facilities, farms, and food handlers.

Improve adherence to proper disposal of unfit-for-use antimicrobials from farms, human and animal health facilities, and other hazardous wastes through sensitization workshops.","Ensure proper disposal of unfit-for-use antimicrobials and 
laboratory supplies 
Establish standards for waste discharge and treatment from 
manufacturing and food processing plants and human and animal health care settings 
",2,Align,"Both policies target the reduction of environmental contamination from leftover antimicrobials and other hazardous wastes. Policy 1 does this by raising awareness and improving disposal behaviors at the community level, while Policy 2 strengthens the regulatory framework and sets enforceable standards for waste discharge and treatment. Together, they push the shared driver (discharge of waste from anthropogenic activities) in the same direction.",One-sided benefit,"Policy 1’s advocacy, awareness materials, and sensitization workshops improve acceptance of and compliance with the regulatory standards established by Policy 2, thereby easing the implementation of waste discharge and treatment regulations. Policy 2’s standards do not significantly enhance the reach or effectiveness of Policy 1’s community‐level awareness activities."
Ethiopia,discharge of waste from anthropogenic activities,AMR-01,AMR-04,"Improve awareness on the risk of leftover antimicrobials, pesticides, insecticides and heavy metal contaminants in the environment","Strengthen the regulatory system in the human, animal, food and feed production and the environment sectors","Advocate for the implementation of the policy on safe disposal of antimicrobials, pesticides, insecticides, and heavy metals at the community level.

Develop and disseminate awareness-raising materials on environmental waste management for farmers, human and animal health facilities, farms, and food handlers.

Improve adherence to proper disposal of unfit-for-use antimicrobials from farms, human and animal health facilities, and other hazardous wastes through sensitization workshops.","Ensure proper disposal of unfit-for-use antimicrobials and 
laboratory supplies 
Establish standards for waste discharge and treatment from 
manufacturing and food processing plants and human and animal health care settings 
",3,Align,"Both policies aim to reduce the discharge of antimicrobials and other hazardous wastes into the environment—policy 1 through community-level awareness and behavior change, policy 2 through strengthening regulatory frameworks and standards—thereby pushing the shared driver in the same direction and producing cumulative benefits.",Mutual benefit,"Policy 2’s establishment of clear waste discharge standards and enforcement mechanisms creates a regulatory framework that enhances the impact of policy 1’s awareness and advocacy efforts, while policy 1’s community engagement and sensitization increase adherence to policy 2’s regulations, making the implementation of both policies easier."
Ethiopia,discharge of waste from anthropogenic activities,AMR-01,AMR-04,"Improve awareness on the risk of leftover antimicrobials, pesticides, insecticides and heavy metal contaminants in the environment","Strengthen the regulatory system in the human, animal, food and feed production and the environment sectors","Advocate for the implementation of the policy on safe disposal of antimicrobials, pesticides, insecticides, and heavy metals at the community level.

Develop and disseminate awareness-raising materials on environmental waste management for farmers, human and animal health facilities, farms, and food handlers.

Improve adherence to proper disposal of unfit-for-use antimicrobials from farms, human and animal health facilities, and other hazardous wastes through sensitization workshops.","Ensure proper disposal of unfit-for-use antimicrobials and 
laboratory supplies 
Establish standards for waste discharge and treatment from 
manufacturing and food processing plants and human and animal health care settings 
",4,Align,"Both policies target the reduction of harmful environmental discharge of antimicrobials and related contaminants. Policy 1 seeks to reduce release at the community and facility level through awareness and safe‐disposal practices, while Policy 2 strengthens the regulatory framework to mandate proper disposal and treatment across human, animal, food, feed and manufacturing sectors. Together they push the shared driver (anthropogenic waste discharge) in the same direction.",Mutual benefit,"Policy 1’s awareness campaigns and sensitization workshops build community and facility buy‐in for the standards and treatment requirements set by Policy 2, improving compliance. Conversely, Policy 2’s establishment of discharge and disposal standards provides concrete content and authority for Policy 1’s training materials and advocacy, making outreach more effective."
