edge_id,from,to,interaction_family,theme,effect,direct_or_indirect,bidirectional,context_dependent,mechanism,policy_tension,evidence_level,reference
E018,amr_pharma_emissions,amr_env_reservoir,AMR-AMR,Environment & Climate Action,Increase AMR risk,Direct,FALSE,FALSE,Manufacturing discharge can elevate resistance selection in receiving environments,Industrial output versus compliance controls,High,UNEP AMR report
E019,sdg12,amr_pharma_emissions,AMR-SDG,Environment & Climate Action,Reduce AMR risk,Indirect,FALSE,TRUE,Clean production and waste rules can reduce uncontrolled pharmaceutical release,Competitiveness versus stricter emission rules,Medium,UN SDG policy brief
E020,sdg13,amr_climate_shocks,AMR-SDG,Environment & Climate Action,Reduce AMR risk,Indirect,FALSE,TRUE,Climate adaptation can lower infection shocks that drive antibiotic demand,Adaptation funding versus competing priorities,Medium,IPCC health adaptation summary
E021,amr_climate_shocks,amr_use_human,AMR-AMR,Environment & Climate Action,Increase AMR risk,Indirect,FALSE,TRUE,Extreme weather and outbreaks can increase empirical antibiotic use,Crisis response speed versus stewardship controls,Medium,Climate and AMR evidence map
E022,amr_climate_shocks,outcome_amr_burden,AMR-to-AMR Outcome,Environment & Climate Action,Increase AMR risk,Indirect,FALSE,TRUE,Climate sensitive disease surges can worsen AMR burden,Emergency access versus stewardship discipline,Emerging,Concept note scenario mapping
E023,sdg14,amr_env_reservoir,AMR-SDG,Environment & Climate Action,Reduce AMR risk,Indirect,FALSE,TRUE,Aquatic ecosystem protection can reduce exposure pathways and contamination pressure,Conservation enforcement versus short term extraction,Emerging,UNEP AMR report
E024,sdg15,amr_env_reservoir,AMR-SDG,Environment & Climate Action,Reduce AMR risk,Indirect,FALSE,TRUE,Land ecosystem protection can reduce terrestrial spread of resistant organisms,Land use pressure versus ecosystem protection,Emerging,UNEP AMR report
E025,sdg13,sdg6,SDG-SDG,Environment & Climate Action,Reduce AMR risk,Indirect,FALSE,TRUE,Climate adaptation can reinforce resilient WASH systems,Adaptation planning versus immediate service gaps,Medium,IPCC health adaptation summary
E026,sdg8,sdg6,SDG-SDG,Environment & Climate Action,Mixed / context-dependent,Indirect,TRUE,TRUE,Rapid growth may outpace sanitation expansion or finance it depending on policy design,Growth speed versus infrastructure readiness,Medium,Concept note scenario mapping
E027,amr_env_reservoir,outcome_amr_burden,AMR-to-AMR Outcome,Environment & Climate Action,Increase AMR risk,Direct,FALSE,FALSE,Environmental reservoirs sustain resistant organisms that affect human and animal exposure,Pollution tolerance versus disease prevention,High,UNEP AMR report
E028,amr_env_reservoir,outcome_treatment_failure,AMR-to-AMR Outcome,Environment & Climate Action,Increase AMR risk,Indirect,FALSE,TRUE,Reservoir amplification can increase probability of resistant infections that fail treatment,Monitoring cost versus early warning value,Medium,WHO AMR technical report
E029,sdg6,outcome_amr_burden,SDG-to-AMR Outcome,Environment & Climate Action,Reduce AMR risk,Indirect,FALSE,TRUE,Sanitation and safe water can reduce infection incidence and antibiotic need,Service investment versus fiscal constraints,High,WHO WASH and AMR brief
E030,sdg12,outcome_amr_burden,SDG-to-AMR Outcome,Environment & Climate Action,Reduce AMR risk,Indirect,FALSE,TRUE,Responsible production and waste management can lower resistance drivers across sectors,Compliance costs versus prevention outcomes,Medium,UN SDG policy brief
E031,sdg6,sdg14,SDG-SDG,Environment & Climate Action,Reduce AMR risk,Indirect,FALSE,FALSE,Water quality improvements support aquatic ecosystem health and lower AMR exposure pathways,Basin governance complexity versus ecosystem benefit,Medium,UN water policy synthesis
E032,sdg12,sdg14,SDG-SDG,Environment & Climate Action,Reduce AMR risk,Indirect,FALSE,TRUE,Clean production standards reduce marine pollutant loads and resistance risk,Producer transition costs versus marine protection,Medium,UN SDG policy brief
E033,sdg12,sdg15,SDG-SDG,Environment & Climate Action,Reduce AMR risk,Indirect,FALSE,TRUE,Responsible production can reduce land based contamination pathways relevant to AMR,Industrial upgrade cost versus land health,Medium,UN SDG policy brief
E034,sdg1,amr_informal_market,AMR-SDG,Economy Poverty & Equity,Reduce AMR risk,Indirect,FALSE,TRUE,Poverty reduction can reduce reliance on informal antibiotic sellers,Social protection cost versus fiscal space,Medium,Equity and AMR policy review
E035,sdg10,amr_access,AMR-SDG,Economy Poverty & Equity,Reduce AMR risk,Indirect,FALSE,TRUE,Reduced inequality can improve equitable access to quality care and medicines,Distributional reform versus budget constraints,Medium,Equity and AMR policy review
E036,amr_access,amr_use_human,AMR-AMR,Economy Poverty & Equity,Mixed / context-dependent,Indirect,TRUE,TRUE,Improved access can lower unsafe self-medication but may increase total antibiotic use if stewardship is weak,Access goals versus use control,Medium,WHO access stewardship synthesis
E037,amr_informal_market,amr_use_human,AMR-AMR,Economy Poverty & Equity,Increase AMR risk,Direct,FALSE,FALSE,Informal sales can bypass diagnostics and dosing guidance,Affordability versus regulatory enforcement,High,LMIC antimicrobial market review
E038,sdg4,amr_stewardship,AMR-SDG,Economy Poverty & Equity,Reduce AMR risk,Indirect,FALSE,TRUE,Health literacy and professional training strengthen stewardship practices,Education investment versus delayed behavior change,Medium,WHO competency framework
E039,sdg5,amr_access,AMR-SDG,Economy Poverty & Equity,Reduce AMR risk,Indirect,FALSE,TRUE,Gender responsive systems can improve timely care and reduce harmful delays,Equity reform versus service capacity limits,Emerging,Gender and AMR scoping review
E040,sdg8,outcome_productivity_loss,SDG-to-AMR Outcome,Economy Poverty & Equity,Reduce AMR risk,Indirect,FALSE,TRUE,Inclusive employment policies can buffer livelihood shocks linked to AMR,Short term labor cost versus social resilience,Emerging,Concept note scenario mapping
E041,amr_use_human,outcome_treatment_failure,AMR-to-AMR Outcome,Health Systems & Governance,Increase AMR risk,Direct,FALSE,FALSE,Inappropriate human antibiotic use can increase resistant infections and treatment failure,Immediate symptom relief versus long term effectiveness,High,WHO AMR technical report
E042,outcome_treatment_failure,outcome_health_costs,AMR-AMR,Economy Poverty & Equity,Increase AMR risk,Direct,FALSE,FALSE,Treatment failure drives additional care use and higher costs,Household affordability versus quality treatment pathways,High,Global burden analyses
E043,outcome_health_costs,outcome_productivity_loss,AMR-AMR,Economy Poverty & Equity,Increase AMR risk,Indirect,FALSE,TRUE,High health costs can reduce household productivity and livelihood security,Short term coping strategies versus long term welfare,High,Global burden analyses
E044,outcome_productivity_loss,outcome_equity_gap,AMR-AMR,Economy Poverty & Equity,Increase AMR risk,Indirect,FALSE,TRUE,Productivity shocks disproportionately affect vulnerable groups and widen inequity,Efficiency focus versus equity safeguards,Medium,Equity and AMR policy review
E045,outcome_equity_gap,sdg1,AMR-SDG,Economy Poverty & Equity,Increase AMR risk,Indirect,FALSE,TRUE,Widening AMR inequities can slow poverty reduction progress,Targeted support versus fiscal limits,Medium,Concept note scenario mapping
E046,amr_diagnostics,amr_stewardship,AMR-AMR,Health Systems & Governance,Reduce AMR risk,Direct,FALSE,FALSE,Diagnostics support targeted prescribing and stewardship decisions,Diagnostic coverage costs versus prescribing quality,High,WHO diagnostics and AMR brief
E047,amr_diagnostics,outcome_treatment_failure,AMR-to-AMR Outcome,Health Systems & Governance,Reduce AMR risk,Indirect,FALSE,TRUE,Timely diagnostics can reduce incorrect therapy and treatment failure,Lab capacity versus turnaround time expectations,High,WHO diagnostics and AMR brief
E048,sdg3,amr_diagnostics,AMR-SDG,Health Systems & Governance,Reduce AMR risk,Direct,FALSE,FALSE,Health system investment can improve diagnostic access and quality,UHC financing versus competing budget lines,High,UHC and AMR policy note
E049,sdg3,amr_access,AMR-SDG,Health Systems & Governance,Reduce AMR risk,Direct,FALSE,FALSE,Universal coverage can increase access to quality antibiotics through regulated pathways,Benefit package breadth versus cost containment,High,UHC and AMR policy note
E050,sdg3,amr_ipc,AMR-SDG,Health Systems & Governance,Reduce AMR risk,Direct,FALSE,FALSE,Health system strengthening can improve infection prevention standards,Facility upgrades versus recurrent operating costs,High,WHO IPC minimum requirements
E051,amr_ipc,amr_use_human,AMR-AMR,Health Systems & Governance,Reduce AMR risk,Indirect,FALSE,TRUE,Better IPC can reduce avoidable infections and antibiotic need,Behavior change effort versus immediate throughput pressures,High,WHO IPC minimum requirements
E052,amr_surveillance,amr_stewardship,AMR-AMR,Health Systems & Governance,Reduce AMR risk,Indirect,FALSE,TRUE,Surveillance intelligence can target stewardship and regulation actions,Data investment versus action capacity,High,WHO GLASS framework
E053,amr_governance,amr_surveillance,AMR-AMR,Health Systems & Governance,Reduce AMR risk,Direct,FALSE,FALSE,Coordinated governance can align multisector surveillance systems,Coordination overhead versus coherent monitoring,Medium,National action plan reviews
E054,amr_governance,amr_stewardship,AMR-AMR,Health Systems & Governance,Reduce AMR risk,Direct,FALSE,FALSE,Cross-sector governance can align stewardship goals across health food and environment sectors,Shared accountability versus institutional autonomy,Medium,National action plan reviews
E055,sdg17,amr_governance,AMR-SDG,Health Systems & Governance,Reduce AMR risk,Direct,FALSE,FALSE,Partnerships can strengthen implementation of One Health AMR governance,Partner alignment effort versus implementation speed,Medium,UN partnership guidance
E056,sdg17,sdg3,SDG-SDG,Health Systems & Governance,Reduce AMR risk,Indirect,FALSE,TRUE,Partnership capacity can support stronger health system performance,Coordination time versus delivery pace,Medium,UN partnership guidance
E057,sdg8,amr_pharma_emissions,AMR-SDG,Environment & Climate Action,Mixed / context-dependent,Indirect,TRUE,TRUE,Industrial growth can expand emissions without controls or finance cleaner production with policy,Growth incentives versus environmental compliance,Medium,Concept note scenario mapping
E058,sdg8,amr_use_human,AMR-SDG,Economy Poverty & Equity,Mixed / context-dependent,Indirect,TRUE,TRUE,Economic expansion can improve access but may increase non-essential antibiotic consumption,Access expansion versus stewardship enforcement,Emerging,Workshop synthesis draft
E059,amr_stewardship,outcome_amr_burden,AMR-to-AMR Outcome,Health Systems & Governance,Reduce AMR risk,Indirect,FALSE,TRUE,Stewardship can lower resistance selection pressure and future burden,Near term effort versus delayed gains,High,WHO stewardship guidance
E060,amr_use_human,outcome_amr_burden,AMR-to-AMR Outcome,Health Systems & Governance,Increase AMR risk,Direct,FALSE,FALSE,Inappropriate use can directly increase AMR burden,Short term access pressure versus effectiveness preservation,High,WHO AMR technical report
E061,amr_use_human,amr_env_reservoir,AMR-AMR,Environment & Climate Action,Increase AMR risk,Indirect,FALSE,TRUE,Human antibiotic residues and resistant organisms can enter wastewater pathways,Healthcare access expansion versus wastewater control,Medium,UNEP AMR report
E062,amr_access,outcome_treatment_failure,AMR-to-AMR Outcome,Health Systems & Governance,Reduce AMR risk,Indirect,FALSE,TRUE,Reliable access to quality antibiotics can reduce treatment failure from substandard medicines,Affordability versus quality assurance investment,Medium,WHO access stewardship synthesis
E063,amr_vet_capacity,outcome_amr_burden,AMR-to-AMR Outcome,Agriculture & Food Systems,Reduce AMR risk,Indirect,FALSE,TRUE,Veterinary strengthening can reduce inappropriate animal use and downstream AMR burden,Workforce expansion versus budget limits,Medium,WOAH policy guidance
E064,amr_wash_systems,outcome_treatment_failure,AMR-to-AMR Outcome,Environment & Climate Action,Reduce AMR risk,Indirect,FALSE,TRUE,Improved sanitation reduces infection pressure that can complicate treatment outcomes,Infrastructure maintenance versus service reliability,Medium,WHO WASH and AMR brief
E065,sdg10,outcome_equity_gap,SDG-to-AMR Outcome,Economy Poverty & Equity,Reduce AMR risk,Indirect,FALSE,TRUE,Inequality reduction can narrow AMR outcome disparities,Targeted redistribution versus political feasibility,Emerging,Equity and AMR policy review
E066,sdg1,outcome_equity_gap,SDG-to-AMR Outcome,Economy Poverty & Equity,Reduce AMR risk,Indirect,FALSE,TRUE,Poverty reduction can improve resilience against unequal AMR impacts,Social investment versus short term fiscal pressure,Emerging,Equity and AMR policy review
E067,sdg4,outcome_equity_gap,SDG-to-AMR Outcome,Economy Poverty & Equity,Reduce AMR risk,Indirect,FALSE,TRUE,Education investment can reduce inequity in AMR knowledge and care seeking,Education spending versus immediate service demands,Emerging,Gender and AMR scoping review
E068,sdg5,outcome_equity_gap,SDG-to-AMR Outcome,Economy Poverty & Equity,Reduce AMR risk,Indirect,FALSE,TRUE,Gender equality policies can reduce disproportionate AMR impacts on women and caregivers,Reform pace versus institutional inertia,Emerging,Gender and AMR scoping review
E069,sdg13,outcome_amr_burden,SDG-to-AMR Outcome,Environment & Climate Action,Reduce AMR risk,Indirect,FALSE,TRUE,Climate adaptation can reduce climate-linked infection shocks and antibiotic demand,Adaptation financing versus competing priorities,Emerging,IPCC health adaptation summary
E070,sdg14,outcome_amr_burden,SDG-to-AMR Outcome,Environment & Climate Action,Reduce AMR risk,Indirect,FALSE,TRUE,Marine ecosystem protection can lower environmental exposure pathways for resistance,Conservation effort versus short term extraction returns,Emerging,UNEP AMR report
E071,sdg15,outcome_amr_burden,SDG-to-AMR Outcome,Environment & Climate Action,Reduce AMR risk,Indirect,FALSE,TRUE,Land ecosystem stewardship can reduce resistant organism spread across soil and water systems,Land use conversion versus ecosystem stability,Emerging,UNEP AMR report
E072,amr_governance,outcome_amr_burden,AMR-to-AMR Outcome,Health Systems & Governance,Reduce AMR risk,Indirect,FALSE,TRUE,Coherent governance can align interventions that lower AMR burden,Coordination transaction costs versus policy coherence,Medium,National action plan reviews
E073,amr_surveillance,outcome_amr_burden,AMR-to-AMR Outcome,Health Systems & Governance,Reduce AMR risk,Indirect,FALSE,TRUE,Surveillance informed actions can reduce resistance spread and disease burden,Data quality requirements versus rapid decision timelines,Medium,WHO GLASS framework
E074,amr_diagnostics,amr_use_human,AMR-AMR,Health Systems & Governance,Reduce AMR risk,Indirect,FALSE,TRUE,Accurate diagnostics can reduce unnecessary antibiotic use,Diagnostic affordability versus broad scale adoption,High,WHO diagnostics and AMR brief
E075,sdg8,sdg12,SDG-SDG,Economy Poverty & Equity,Mixed / context-dependent,Indirect,TRUE,TRUE,Growth can either conflict with or enable responsible production depending on policy design,Industrial expansion versus sustainability regulation,Medium,Concept note scenario mapping
E076,sdg8,sdg13,SDG-SDG,Environment & Climate Action,Mixed / context-dependent,Indirect,TRUE,TRUE,Growth pathways can increase emissions or finance low carbon transitions,Short term growth versus climate commitments,Medium,IPCC policy synthesis
E077,sdg6,sdg15,SDG-SDG,Environment & Climate Action,Reduce AMR risk,Indirect,FALSE,TRUE,Improved sanitation can reduce land contamination and ecosystem stress,Infrastructure rollout versus maintenance capacity,Medium,UN water policy synthesis
E078,sdg3,outcome_amr_burden,SDG-to-AMR Outcome,Health Systems & Governance,Reduce AMR risk,Direct,FALSE,FALSE,Strong health systems can lower AMR burden through prevention diagnostics and quality care,UHC scope versus fiscal sustainability,High,UHC and AMR policy note
