interaction_type,outcome_category,from,to,bidirectional,context_dependent,summary,references,mediator_node,positive_or_negative,direct_or_indirect
Seabed removal,Natural Capital diminishment,mini,eco,FALSE,FALSE,Seabed mining can disturb deep sea habitats and species,Niner 2018,None,Diminishment,Direct
Brine discharge,Natural Capital diminishment,des,eco,FALSE,TRUE,Brine outflow can alter salinity around intake areas,Jones 2019,Hydrodynamics,Diminishment,Indirect
Coastal amenity pressure,Touristic Value diminishment,des,tou,FALSE,TRUE,Large coastal plants may reduce perceived scenic value,Jones 2019,None,Diminishment,Direct
Cable exclusion,Spatial conflicts,tel,fish,FALSE,TRUE,Cable corridors can create no anchoring or no trawling zones,Taormina 2022,Cable corridor,Diminishment,Indirect
EMF concerns,Natural Capital diminishment,tel,eco,FALSE,TRUE,Electromagnetic fields can alter behavior for sensitive species,Taormina 2022,Electromagnetic fields,Mixed,Indirect
Access restriction,Operations diminishment,mil,fish,FALSE,FALSE,Security areas can limit fishing access and timing,MCS 2020,None,Diminishment,Direct
Security perimeter,Touristic Value diminishment,mil,tou,FALSE,FALSE,Exclusion zones can reduce recreational boating and diving,MCS 2020,None,Diminishment,Direct
Discovery value,Natural Capital enhancement,bio,eco,FALSE,TRUE,Bioprospecting can fund ecosystem research and monitoring,UNEP 2021,Knowledge transfer,Enhancement,Indirect
Innovation spillover,Operations enhancement,bio,aqua,FALSE,TRUE,Biotech discoveries can improve feed and disease control,UNEP 2021,Shared RnD,Enhancement,Indirect
Channel deepening,Operations enhancement,dred,ship,FALSE,FALSE,Dredging can maintain safe draft for commercial navigation,IMO 2020,None,Enhancement,Direct
Sediment plume,Natural Capital diminishment,dred,eco,FALSE,FALSE,Suspended sediments can reduce light and stress habitats,Newell 1998,None,Diminishment,Direct
Lane crossing,Spatial conflicts,cable,ship,FALSE,FALSE,Cable crossing points can constrain anchoring and routing,IMO 2020,None,Diminishment,Direct
Leak risk,Natural Capital diminishment,pipe,eco,FALSE,TRUE,Pipeline failures can release pollutants into marine systems,Gormley 2011,None,Diminishment,Direct
Habitat loss,Natural Capital diminishment,recl,eco,FALSE,FALSE,Land reclamation converts coastal habitat to built area,Chee 2017,None,Diminishment,Direct
Waste input,Natural Capital diminishment,waste,eco,FALSE,FALSE,Marine disposal can increase contaminant loads and debris,Jambeck 2015,None,Diminishment,Direct
Crowding effect,Natural Capital diminishment,tou,eco,FALSE,TRUE,High visitation can damage reefs and coastal habitats,Arlinghaus 2016,Visitation pressure,Diminishment,Indirect
Finance support,Operations enhancement,tou,mpa,FALSE,TRUE,Tourism fees can support protected area management,UNWTO 2020,User fees,Enhancement,Indirect
Stock depletion,Natural Capital diminishment,fish,eco,FALSE,TRUE,Excess effort can reduce biomass and food web resilience,FAO 2024,Effort intensity,Diminishment,Direct
Experience value,Touristic Value enhancement,fish,tou,TRUE,TRUE,Active fisheries can attract culinary and cultural tourism,Barnes 2019,None,Enhancement,Direct
Local branding,Touristic Value enhancement,aqua,tou,FALSE,TRUE,Sustainable aquaculture can support local destination branding,FAO 2024,Destination branding,Enhancement,Indirect
Protection effect,Natural Capital enhancement,mpa,eco,FALSE,FALSE,Protected areas can rebuild habitats and species abundance,Sala 2013,None,Enhancement,Direct
Zoning conflict,Spatial conflicts,ship,mpa,FALSE,TRUE,Transit corridors can conflict with strict protection rules,Ehler 2019,None,Diminishment,Direct
Visual impact,Touristic Value diminishment,wind,tou,FALSE,TRUE,Nearshore turbines may reduce scenic appeal for some visitors,Wolsink 2007,None,Mixed,Direct
Visitor attraction,Touristic Value enhancement,wave,tou,FALSE,TRUE,Energy visitor centers can add educational tourism,Duarte 2017,Education centres,Enhancement,Indirect
Supply chain delay,Operations diminishment,agg,ship,FALSE,TRUE,Harbor maintenance requirements can delay material export,Ehler 2019,Dredging needs,Diminishment,Indirect
Port delay,Operations diminishment,mini,ship,FALSE,TRUE,Seabed mineral logistics can increase pressure on port access,Niner 2018,Dredging needs,Diminishment,Indirect
Safety zone conflict,Spatial conflicts,dril,ship,FALSE,FALSE,Safety exclusion zones can conflict with major routes,IMO 2020,None,Diminishment,Direct
Water intake competition,Operations diminishment,des,aqua,FALSE,TRUE,Intake placement can compete with farm water quality needs,Jones 2019,Intake siting,Diminishment,Indirect
Transit limits,Operations diminishment,mpa,ship,FALSE,TRUE,Seasonal closures can reduce vessel flexibility in protected waters,Ehler 2019,Seasonal closure,Diminishment,Direct
Green image,Touristic Value enhancement,ren,tou,FALSE,TRUE,Clean energy projects can strengthen destination sustainability image,UNWTO 2020,Climate branding,Enhancement,Indirect
Platform sharing,Spatial synergies,ren,ship,TRUE,TRUE,Shared offshore platforms can support multipurpose sea use,Ehler 2019,Port infrastructure,Enhancement,Indirect
Monitoring support,Operations enhancement,tel,mpa,FALSE,TRUE,Cable and sensor systems can improve MPA monitoring capacity,Taormina 2022,Sensor network,Enhancement,Indirect
Entanglement risk,Operations diminishment,cable,fish,FALSE,FALSE,Fishing gear can snag on cable protection structures,Taormina 2022,None,Diminishment,Direct
Leak plume,Operations diminishment,pipe,fish,FALSE,TRUE,Small leaks can reduce local stock quality and marketability,Gormley 2011,Contaminant plume,Diminishment,Indirect
Beach quality loss,Touristic Value diminishment,waste,tou,FALSE,FALSE,Visible waste can reduce beach attractiveness and visitor demand,Jambeck 2015,None,Diminishment,Direct
Beach space loss,Touristic Value diminishment,recl,tou,FALSE,FALSE,Reclamation can reduce natural beach and recreation areas,Chee 2017,None,Diminishment,Direct
Turbidity impact,Operations diminishment,dred,fish,FALSE,FALSE,Turbidity can disrupt catch efficiency and gear performance,Newell 1998,None,Diminishment,Direct
Zoning friction,Spatial conflicts,dred,mpa,FALSE,FALSE,Dredging windows can conflict with conservation restrictions,Ehler 2019,None,Diminishment,Direct
New feed source,Operations enhancement,bio,fish,FALSE,TRUE,Biotech feed alternatives can reduce bait dependence,UNEP 2021,Alternative proteins,Enhancement,Indirect
Space tension,Spatial conflicts,aqua,mpa,FALSE,TRUE,Farm expansion can conflict with conservation area goals,Crona 2022,None,Diminishment,Direct
Route interference,Spatial conflicts,ship,aqua,FALSE,FALSE,Vessel wake and route needs can interfere with cage placement,Crona 2022,None,Diminishment,Direct
