edge_id,from,to,interaction_type,country,theme,effect,direct_or_indirect,bidirectional,context_dependent,interaction_summary,policy_tension,evidence_level,reference,amr_driver,challenge,distalness,type2,source
P033,sdg03,sdg06,AMR-SDG,Rwanda,Governance & Financing,Align,Indirect,FALSE,TRUE,Innovation financing for diagnostics and monitoring aligns with infrastructure modernization,Innovation targeting versus broad infrastructure demands,High,Vietnam NAP 2023,infection/colonization by resistant bacteria in human,Containment,0.320203936,Proximal,Implementation
P034,sdg03,sdg06,AMR-SDG,Rwanda,Environment & Climate Action,Align,Indirect,FALSE,TRUE,Coastal ecosystem protection reduces exposure pathways that contribute to infection risks,Conservation priorities versus local development plans,High,Vietnam NAP 2023,infection/colonization by resistant bacteria in human,Containment,0.320203936,Proximal,Objective
P035,amr04,sdg03,AMR-AMR,Rwanda,Human Health Systems,Align,Direct,FALSE,FALSE,Resistance and use surveillance informs stewardship action in hospitals and community care,Data timeliness versus prescribing pressures,Low,Vietnam NAP 2023,limited access to healthcare,Access,0.56494709,Proximal,Implementation
P036,amr04,sdg03,SDG-SDG,Rwanda,Governance & Financing,Align,Indirect,TRUE,TRUE,Growth oriented industrial expansion can conflict with responsible production unless compliance incentives are aligned,Industrial growth versus sustainability enforcement,High,Vietnam NAP 2023,limited access to healthcare,Access,0.56494709,Proximal,Objective
P037,amr02,amr04,SDG-SDG,Rwanda,Agriculture & Food Systems,Align,Indirect,TRUE,TRUE,Agri-food development can support income and employment objectives when sustainability safeguards are integrated,Productivity gains versus environmental externalities,High,Vietnam NAP 2023,limited laboratory capacity in human medicine,Access,0.788888889,Distal,Implementation
P038,amr02,amr04,AMR-SDG,Rwanda,Agriculture & Food Systems,Align,Indirect,FALSE,TRUE,Improved farm biosecurity can stabilize production but introduces compliance costs for smallholders,Prevention standards versus affordability for producers,High,Vietnam NAP 2023,limited laboratory capacity in human medicine,Access,0.788888889,Distal,Objective
P039,amr02,amr05,SDG-SDG,Rwanda,Environment & Climate Action,Align,Indirect,FALSE,TRUE,Climate adaptation planning can reinforce resilient water and sanitation systems,Adaptation investments versus immediate service expansion,High,Vietnam NAP 2023,limited laboratory capacity in human medicine,Access,0.788888889,Distal,Implementation
P040,amr02,amr05,AMR-SDG,Rwanda,Governance & Financing,Align,Indirect,FALSE,TRUE,Innovation ecosystem policies can support sustainable AMR financing and product development,Industrial innovation goals versus public health affordability,High,Vietnam NAP 2023,limited laboratory capacity in human medicine,Access,0.788888889,Distal,Objective
P041,amr04,amr05,AMR-SDG,Rwanda,Human Health Systems,Align,Direct,FALSE,FALSE,Stewardship integration in care pathways contributes to high quality health outcomes,Prescribing governance versus clinician autonomy,High,Sweden strategy review 2024,limited laboratory capacity in human medicine,Access,0.788888889,Distal,Implementation
P042,amr04,amr05,SDG-SDG,Rwanda,Environment & Climate Action,Align,Indirect,FALSE,TRUE,Cleaner production and procurement policies reduce exposures that undermine health outcomes,Procurement complexity versus prevention benefits,High,Sweden strategy review 2024,limited laboratory capacity in human medicine,Access,0.788888889,Distal,Objective
P043,amr02,amr04,AMR-SDG,Rwanda,Governance & Financing,Align,Indirect,FALSE,TRUE,International surveillance collaboration supports stronger shared response capacity,Data governance versus rapid interoperability,High,Sweden strategy review 2024,limited laboratory capacity in veterinary medicine,Access,0.854166667,Distal,Implementation
P044,amr02,amr04,AMR-SDG,Rwanda,Governance & Financing,Align,Indirect,FALSE,TRUE,Economic activity and mobility can influence antimicrobial demand patterns despite strong stewardship systems,Economic openness versus demand management,High,Sweden strategy review 2024,limited laboratory capacity in veterinary medicine,Access,0.854166667,Distal,Objective
P045,amr02,amr05,AMR-AMR,Rwanda,Governance & Financing,Align,Direct,FALSE,FALSE,Sustained funding enables stewardship quality systems in hospitals and outpatient care,Budget stability versus emerging innovation needs,High,Sweden strategy review 2024,limited laboratory capacity in veterinary medicine,Access,0.854166667,Distal,Implementation
P046,amr02,amr05,SDG-SDG,Rwanda,Environment & Climate Action,Align,Indirect,FALSE,TRUE,Climate adaptation in health infrastructure protects continuity of care and prevention services,Adaptation priorities versus annual operating constraints,High,Sweden strategy review 2024,limited laboratory capacity in veterinary medicine,Access,0.854166667,Distal,Objective
P047,amr04,amr05,SDG-SDG,Rwanda,Social Equity & Education,Align,Indirect,FALSE,TRUE,Universal health outcomes contribute to reduced inequalities across population groups,Targeting strategies versus universal approaches,High,Sweden strategy review 2024,limited laboratory capacity in veterinary medicine,Access,0.854166667,Distal,Implementation
P048,amr04,amr05,AMR-SDG,Rwanda,Governance & Financing,Align,Indirect,FALSE,TRUE,Public transparency and risk communication support institutional trust and compliance,Communication effort versus policy fatigue,High,Sweden strategy review 2024,limited laboratory capacity in veterinary medicine,Access,0.854166667,Distal,Objective
P049,sdg02,sdg03,AMR-SDG,Rwanda,Governance & Financing,Align,Indirect,FALSE,TRUE,Strong institutions improve data governance for AMR surveillance and accountability,Institutional reform pace versus immediate needs,High,Sweden strategy review 2024,patient health status,Conservation,0.44473775,Proximal,Implementation
P050,sdg02,sdg03,SDG-SDG,Rwanda,Environment & Climate Action,Align,Indirect,TRUE,TRUE,Clean energy transition supports climate action targets when grid reliability is maintained,Transition speed versus reliability safeguards,High,Sweden strategy review 2024,patient health status,Conservation,0.44473775,Proximal,Objective
P051,sdg02,sdg11,AMR-SDG,Rwanda,Environment & Climate Action,Independent,Direct,FALSE,FALSE,Urban and rural sanitation upgrades reduce infections and support prevention goals,Infrastructure backlog versus operational maintenance,High,Bangladesh NAP 2024,patient health status,Conservation,0.44473775,Proximal,Implementation
P052,sdg02,sdg11,AMR-SDG,Rwanda,Social Equity & Education,Align,Indirect,FALSE,TRUE,Stricter dispensing controls protect antimicrobial effectiveness but can increase access barriers for poor households,Access equity versus strict control enforcement,Low,Bangladesh NAP 2024,patient health status,Conservation,0.44473775,Proximal,Objective
P053,sdg03,sdg11,AMR-SDG,Rwanda,Agriculture & Food Systems,Align,Indirect,FALSE,TRUE,Food production pressure can sustain preventive antimicrobial use in livestock systems,Productivity targets versus stewardship goals,High,Bangladesh NAP 2024,patient health status,Conservation,0.44473775,Proximal,Implementation
P054,sdg03,sdg11,AMR-SDG,Rwanda,Agriculture & Food Systems,Align,Indirect,FALSE,TRUE,Compliance with infection prevention protocols may increase production costs in informal sectors,Prevention standards versus livelihood constraints,High,Bangladesh NAP 2024,patient health status,Conservation,0.44473775,Proximal,Objective
P055,amr03,sdg06,SDG-SDG,Rwanda,Environment & Climate Action,Align,Indirect,TRUE,TRUE,Rapid urbanization can strain water and sanitation services unless infrastructure expansion keeps pace,Urban growth versus service coverage,High,Bangladesh NAP 2024,poor access to WASH & other infrastructure,Infection prevention,0.64,Distal,Implementation
P056,amr03,sdg06,AMR-SDG,Rwanda,Governance & Financing,Align,Indirect,FALSE,TRUE,Redirecting fiscal space to AMR systems can challenge short term growth spending in constrained budgets,Public finance trade-off between resilience and growth,High,Bangladesh NAP 2024,poor access to WASH & other infrastructure,Infection prevention,0.64,Distal,Objective
P057,sdg06,sdg11,AMR-SDG,Rwanda,Environment & Climate Action,Align,Indirect,FALSE,TRUE,Environmental surveillance data informs targeting of WASH interventions for high risk areas,Monitoring costs versus targeted intervention gains,High,Bangladesh NAP 2024,poor access to WASH & other infrastructure,Infection prevention,0.64,Distal,Implementation
P058,sdg06,sdg11,AMR-SDG,Rwanda,Governance & Financing,Align,Indirect,FALSE,TRUE,External partnerships support financing and technical capacity for AMR investments,Dependency risk versus implementation support,High,Bangladesh NAP 2024,poor access to WASH & other infrastructure,Infection prevention,0.64,Distal,Objective
P059,sdg03,sdg11,SDG-SDG,Thailand,Environment & Climate Action,Align,Indirect,FALSE,TRUE,Responsible production and waste controls improve water quality outcomes,Compliance burden versus public health benefit,High,Bangladesh NAP 2024,close human-animal interface & wildlife-associated transmission,Containment,0.503025465,Proximal,Implementation
P060,sdg03,sdg11,AMR-AMR,Thailand,Human Health Systems,Align,Direct,FALSE,FALSE,Community awareness supports preventive behaviors and lower infection incidence,Campaign reach versus sustained behavior change,High,Bangladesh NAP 2024,close human-animal interface & wildlife-associated transmission,Containment,0.503025465,Proximal,Objective
P061,sdg06,sdg09,SDG-SDG,Thailand,Environment & Climate Action,Align,Direct,TRUE,FALSE,"SDG-06’s community systems for sorting and converting waste supply feedstocks for SDG-09’s industrial circular economy, while SDG-09’s development of markets, standards, financial mechanisms, and BCG restructuring enhances demand and viability for community-generated recyclables and energy products. Each implementation stream thus facilitates and reinforces the other.",Mutual implementation benefit (Containment),High,"Thailand policy mapping synthesis (all_countries_raw.csv; evaluation rounds: 1, 2, 3, 4, 5)",discharge of waste from anthropogenic activities,Containment,0.516960678,Proximal,Implementation
P062,sdg06,sdg09,SDG-SDG,Thailand,Environment & Climate Action,Align,Indirect,TRUE,TRUE,"Both policies promote a circular economy and low-carbon society that inherently reduce the discharge of waste from anthropogenic activities. SDG-06 targets community-level waste reduction, sorting, recycling, and energy conversion from leftovers, while SDG-09 drives circularity and resource efficiency across industries and services. Their shared focus on reuse, recycling, and waste-to-value approaches produces cumulative benefits in lowering waste discharge.",Objective alignment on a shared AMR driver (Containment),High,"Thailand policy mapping synthesis (all_countries_raw.csv; evaluation rounds: 1, 2, 3, 4, 5)",discharge of waste from anthropogenic activities,Containment,0.516960678,Proximal,Objective
P063,sdg06,sdg11,SDG-SDG,Thailand,Environment & Climate Action,Align,Direct,TRUE,FALSE,"SDG-06’s community garbage‐sorting, recycling and energy‐conversion models create practical waste‐management pilots and data that feed into SDG-11’s sustainable city planning and indicator systems. Conversely, SDG-11’s planning frameworks, resource allocations and technology platforms strengthen and scale up the community‐level initiatives under SDG-06, creating a positive feedback loop for both implementations.",Mutual implementation benefit (Containment),High,"Thailand policy mapping synthesis (all_countries_raw.csv; evaluation rounds: 1, 2, 3, 4, 5)",discharge of waste from anthropogenic activities,Containment,0.516960678,Proximal,Implementation
P064,sdg06,sdg11,SDG-SDG,Thailand,Environment & Climate Action,Align,Indirect,TRUE,TRUE,"Both policies seek to reduce anthropogenic waste discharge by promoting circular‐economy and resource‐efficient practices. SDG-06 drives community‐level waste reduction, sorting and recycling to generate income, while SDG-11 embeds waste and pollution reduction into urban and area planning. They jointly push the shared driver in the same downward direction.",Objective alignment on a shared AMR driver (Containment),High,"Thailand policy mapping synthesis (all_countries_raw.csv; evaluation rounds: 1, 2, 3, 4, 5)",discharge of waste from anthropogenic activities,Containment,0.516960678,Proximal,Objective
P065,sdg06,sdg12,SDG-SDG,Thailand,Environment & Climate Action,Align,Direct,TRUE,FALSE,"Policy 1’s community-level waste reduction, sorting, recycling, and waste-to-energy conversion create feedstocks and operational examples that support Policy 2’s material-flow analyses, circular system development, and regulatory revisions, while Policy 2’s platforms for innovation, resource-efficiency frameworks, and recovered-materials regulations bolster the efficiency and scalability of Policy 1’s local waste-management initiatives.",Mutual implementation benefit (Containment),High,"Thailand policy mapping synthesis (all_countries_raw.csv; evaluation rounds: 1, 2, 3, 4, 5)",discharge of waste from anthropogenic activities,Containment,0.516960678,Proximal,Implementation
P066,sdg06,sdg12,SDG-SDG,Thailand,Environment & Climate Action,Align,Indirect,TRUE,TRUE,"Both policies seek to reduce anthropogenic waste discharge through circular economy approaches—Policy 1 by generating community income from sorted and converted waste, Policy 2 by rehabilitating resources and improving resource efficiency—thus jointly pushing the driver in the same direction.",Objective alignment on a shared AMR driver (Containment),High,"Thailand policy mapping synthesis (all_countries_raw.csv; evaluation rounds: 1, 2, 3, 4, 5)",discharge of waste from anthropogenic activities,Containment,0.516960678,Proximal,Objective
P067,sdg09,sdg11,SDG-SDG,Thailand,Environment & Climate Action,Align,Direct,TRUE,FALSE,"SDG-09’s industry-level measures (circular production, reuse/recycling standards, clean-energy uptake) supply the technologies, products and certification systems that underpin SDG-11’s waste and wastewater management in cities. Conversely, SDG-11’s sustainable urban planning and resource-efficiency mandates create demand for the circular-economy solutions developed under SDG-09, making each policy easier to implement when the other is in place.",Mutual implementation benefit (Containment),High,"Thailand policy mapping synthesis (all_countries_raw.csv; evaluation rounds: 1, 2, 3, 4, 5)",discharge of waste from anthropogenic activities,Containment,0.516960678,Proximal,Implementation
P068,sdg09,sdg11,SDG-SDG,Thailand,Environment & Climate Action,Align,Indirect,TRUE,TRUE,"Both policies target the discharge of waste from anthropogenic activities and aim to push this driver in the same direction. SDG-09 promotes a circular economy and low-carbon society—reducing, reusing and recycling materials—while SDG-11 seeks sustainable urban development through efficient resource use and reductions in all forms of waste, pollution and GHG emissions. Together they cumulatively reduce waste discharge.",Objective alignment on a shared AMR driver (Containment),High,"Thailand policy mapping synthesis (all_countries_raw.csv; evaluation rounds: 1, 2, 3, 4, 5)",discharge of waste from anthropogenic activities,Containment,0.516960678,Proximal,Objective
P069,sdg09,sdg12,SDG-SDG,Thailand,Environment & Climate Action,Align,Direct,TRUE,FALSE,"Policy 1’s establishment of industry standards, financial tools, BCG frameworks and recycling targets creates market demand and regulatory support for the waste‐recovery and material‐flow systems developed under Policy 2, while Policy 2’s platforms for circular businesses, regulations on waste recovery and material‐flow analyses supply Policy 1 industries with recovered inputs and best practices, making the implementation of each policy easier with the other in place.",Mutual implementation benefit (Containment),High,"Thailand policy mapping synthesis (all_countries_raw.csv; evaluation rounds: 1, 2, 3, 4, 5)",discharge of waste from anthropogenic activities,Containment,0.516960678,Proximal,Implementation
P070,sdg09,sdg12,SDG-SDG,Thailand,Environment & Climate Action,Align,Indirect,TRUE,TRUE,"Both policies promote circular economy principles and resource‐efficiency to reduce industrial and agricultural wastes, thus jointly pushing down the discharge of waste from anthropogenic activities and producing cumulative benefits.",Objective alignment on a shared AMR driver (Containment),High,"Thailand policy mapping synthesis (all_countries_raw.csv; evaluation rounds: 1, 2, 3, 4, 5)",discharge of waste from anthropogenic activities,Containment,0.516960678,Proximal,Objective
P071,sdg11,sdg12,SDG-SDG,Thailand,Environment & Climate Action,Align,Direct,TRUE,FALSE,"SDG-11’s capacity building, data-driven planning and investment in waste and wastewater infrastructure create the enabling environment for SDG-12’s circular economy initiatives (e.g., material-flow analysis, platforms for industrial leftovers). Conversely, SDG-12’s development of waste-minimizing technologies, regulatory revisions and circular systems supply the tools and frameworks that make urban sustainability plans under SDG-11 more effective. Each policy’s implementation thus facilitates the other.",Mutual implementation benefit (Containment),High,"Thailand policy mapping synthesis (all_countries_raw.csv; evaluation rounds: 1, 2, 3, 4, 5)",discharge of waste from anthropogenic activities,Containment,0.516960678,Proximal,Implementation
P072,sdg11,sdg12,SDG-SDG,Thailand,Environment & Climate Action,Align,Indirect,TRUE,TRUE,"Both SDG-11 and SDG-12 set out to reduce waste generation and improve resource efficiency, directly targeting the discharge of waste from anthropogenic activities. SDG-11 calls for urban planning that minimizes waste, pollution and GHG emissions and promotes efficient use of natural resources, while SDG-12 aims to rehabilitate natural resources by eliminating leftovers and waste through circular economy measures. Together, they push the same driver in the same direction, yielding cumulative benefits for waste reduction.",Objective alignment on a shared AMR driver (Containment),High,"Thailand policy mapping synthesis (all_countries_raw.csv; evaluation rounds: 1, 2, 3, 4, 5)",discharge of waste from anthropogenic activities,Containment,0.516960678,Proximal,Objective
P073,sdg06,sdg09,SDG-SDG,Thailand,Environment & Climate Action,Align,Direct,TRUE,FALSE,"Policy 1’s community-level waste management systems (sorting, recycling, conversion to energy/products) provide the feedstock, best practices, and local innovation that industry and service sectors under Policy 2 can scale and integrate. Conversely, Policy 2’s development of industrial circular infrastructure, standards, financing mechanisms, and clean-energy adoption creates markets, technologies, and incentives that support and enhance community waste initiatives. Each implementation stream strengthens the other’s effectiveness.",Mutual implementation benefit (Multiple challenges),High,"Thailand policy mapping synthesis (all_countries_raw.csv; evaluation rounds: 1, 2, 3, 4, 5)",environmental contamination & degradation,Multiple challenges,0.859083806,Distal,Implementation
P074,sdg06,sdg09,SDG-SDG,Thailand,Environment & Climate Action,Align,Indirect,TRUE,TRUE,"Both policies prioritize advancing a circular economy and a low-carbon society. Policy 1 focuses on generating community incomes through waste reduction, sorting, recycling, and energy recovery, while Policy 2 aims to transform the industrial and service sectors using the same circular and low-carbon principles. Together, they push the shared driver of environmental contamination and degradation in the same direction by reducing waste, lowering emissions, and promoting sustainable resource use.",Objective alignment on a shared AMR driver (Multiple challenges),High,"Thailand policy mapping synthesis (all_countries_raw.csv; evaluation rounds: 1, 2, 3, 4, 5)",environmental contamination & degradation,Multiple challenges,0.859083806,Distal,Objective
P075,sdg06,sdg11,SDG-SDG,Thailand,Environment & Climate Action,Independent,Indirect,FALSE,FALSE,SDG-06’s community garbage reduction and recycling measures and SDG-11’s EV incentives and procurement schemes operate in largely separate domains (waste management versus vehicle manufacturing and adoption) with no direct mechanisms in place for one to ease or hinder the other’s rollout.,Parallel implementation pathways (Multiple challenges),Medium,"Thailand policy mapping synthesis (all_countries_raw.csv; evaluation rounds: 1, 2, 3, 4, 5)",environmental contamination & degradation,Multiple challenges,0.859083806,Distal,Implementation
P076,sdg06,sdg11,SDG-SDG,Thailand,Environment & Climate Action,Align,Indirect,FALSE,TRUE,"Both policies aim to reduce environmental contamination and degradation—SDG-06 by promoting a circular economy and low-carbon waste management, and SDG-11 by shifting transport and industry to electric mobility. Together they drive down pollution and ecosystem stress that contribute to AMR.",Objective alignment on a shared AMR driver (Multiple challenges),High,"Thailand policy mapping synthesis (all_countries_raw.csv; evaluation rounds: 1, 2, 3, 4, 5)",environmental contamination & degradation,Multiple challenges,0.859083806,Distal,Objective
P077,sdg06,sdg12,SDG-SDG,Thailand,Environment & Climate Action,Align,Direct,TRUE,FALSE,"SDG-06’s community waste‐sorting, recycling and energy-from-waste systems supply the feedstock and operational models that SDG-12’s material‐flow analysis, industrial‐residue recovery and circular-business platform require, while SDG-12’s regulatory reforms, knowledge networks and resource-efficiency frameworks strengthen and scale SDG-06’s local garbage-management and recycling innovations.",Mutual implementation benefit (Multiple challenges),High,"Thailand policy mapping synthesis (all_countries_raw.csv; evaluation rounds: 1, 2, 3, 4, 5)",environmental contamination & degradation,Multiple challenges,0.859083806,Distal,Implementation
P078,sdg06,sdg12,SDG-SDG,Thailand,Environment & Climate Action,Align,Indirect,TRUE,TRUE,"Both policies advance circular-economy approaches to minimize waste and pollution, bolster resource efficiency, and rehabilitate natural assets while generating local income, thereby jointly reducing environmental contamination and degradation.",Objective alignment on a shared AMR driver (Multiple challenges),High,"Thailand policy mapping synthesis (all_countries_raw.csv; evaluation rounds: 1, 2, 3, 4, 5)",environmental contamination & degradation,Multiple challenges,0.859083806,Distal,Objective
