edge_id,from,to,interaction_type,country,theme,source,effect,direct_or_indirect,bidirectional,interaction_summary,policy_tension,policy_strategic_objective_1,policy_strategic_objective_2,policy_specific_actions_1,policy_specific_actions_2,reference
P011,amr03,amr04,AMR-AMR,Ethiopia,Environment & Climate Action,Objective,Align,Direct,TRUE,Both policies target reduction of waste discharge from anthropogenic activities by strengthening waste management practices.,Waste management compliance versus development targets,"Promote, implement and enforce proper waste management at the community level","Strengthen the regulatory system in the human, animal, food and feed production and the environment sectors","Promote and enforce safe human excreta disposal and functional improved latrines in communities

Promote and enforce hazardous waste management in health facilities","Ensure proper disposal of unfit-for-use antimicrobials and 
laboratory supplies 
Establish standards for waste discharge and treatment from 
manufacturing and food processing plants and human and animal health care settings 
",AMR: Antimicrobial resistance prevention and containment strategic plan: The One Health approach (3rd edition 2021-2025)
P012,amr03,amr04,AMR-AMR,Ethiopia,Environment & Climate Action,Implementation,Align,Indirect,TRUE,"AMR-04's development of clear standards and regulatory frameworks for waste discharge and treatment provides the technical and legal basis that communities and facilities under AMR-03 can follow, simplifying enforcement.",Waste management compliance versus development targets,"Promote, implement and enforce proper waste management at the community level","Strengthen the regulatory system in the human, animal, food and feed production and the environment sectors","Promote and enforce safe human excreta disposal and functional improved latrines in communities

Promote and enforce hazardous waste management in health facilities","Ensure proper disposal of unfit-for-use antimicrobials and 
laboratory supplies 
Establish standards for waste discharge and treatment from 
manufacturing and food processing plants and human and animal health care settings 
",AMR: Antimicrobial resistance prevention and containment strategic plan: The One Health approach (3rd edition 2021-2025)
P013,amr01,sdg06,AMR-SDG,Ethiopia,Environment & Climate Action,Objective,Align,Direct,TRUE,Both policies target reducing the discharge of anthropogenic waste into the environment.,Waste management compliance versus development targets,"Improve awareness on the risk of leftover antimicrobials, pesticides, insecticides and heavy metal contaminants in the environment",The main focus areas of the subsector are improving access to potable water supply and sanitation services; expanding climate resilient potable water supply systems; ensuring the sustainability of existing potable water supply facilities; harnessing renewable energy as an alternative source of energy for organizations engaged in supplying potable water in rural areas; strengthening urban sewerage disposal systems by building the necessary infrastructure facilities;,"Advocate for the implementation of the policy on safe disposal of antimicrobials, pesticides, insecticides, and heavy metals at the community level.

Develop and disseminate awareness-raising materials on environmental waste management for farmers, human and animal health facilities, farms, and food handlers.

Improve adherence to proper disposal of unfit-for-use antimicrobials from farms, human and animal health facilities, and other hazardous wastes through sensitization workshops.","strengthening urban sewerage disposal systems by building the necessary infrastructure facilities; 
'To build integrated basic sewerage systems for 100 cities and ensure all rural villages to have access to toilets;",AMR: Antimicrobial resistance prevention and containment strategic plan: The One Health approach (3rd edition 2021-2025); SDGs: Ten years development plan: A pathway to prosperity 2021-2030
P014,amr01,sdg06,AMR-SDG,Ethiopia,Environment & Climate Action,Implementation,Align,Direct,FALSE,"The driver of AMR affected here is environmental contamination and transmission of resistant organisms through unsafe waste, wastewater, and sanitation pathways. AMR-01 addresses this through awareness and safe disposal of antimicrobials and hazardous residues while SDG-06 improves sewerage treatment and sanitation access",Climate adaptation priorities versus AMR surveillance investment,"Improve awareness on the risk of leftover antimicrobials, pesticides, insecticides and heavy metal contaminants in the environment",The main focus areas of the subsector are improving access to potable water supply and sanitation services; expanding climate resilient potable water supply systems; ensuring the sustainability of existing potable water supply facilities; harnessing renewable energy as an alternative source of energy for organizations engaged in supplying potable water in rural areas; strengthening urban sewerage disposal systems by building the necessary infrastructure facilities;,"Advocate for the implementation of the policy on safe disposal of antimicrobials, pesticides, insecticides, and heavy metals at the community level.

Develop and disseminate awareness-raising materials on environmental waste management for farmers, human and animal health facilities, farms, and food handlers.

Improve adherence to proper disposal of unfit-for-use antimicrobials from farms, human and animal health facilities, and other hazardous wastes through sensitization workshops.","strengthening urban sewerage disposal systems by building the necessary infrastructure facilities; 
'To build integrated basic sewerage systems for 100 cities and ensure all rural villages to have access to toilets;",AMR: Antimicrobial resistance prevention and containment strategic plan: The One Health approach (3rd edition 2021-2025); SDGs: Ten years development plan: A pathway to prosperity 2021-2030
P015,amr03,sdg06,AMR-SDG,Ethiopia,Environment & Climate Action,Objective,Align,Direct,TRUE,Both policies aim to reduce environmental contamination from human wastes by improving sanitation and waste management at community and urban levels.,Waste management compliance versus development targets,"Promote, implement and enforce proper waste management at the community level",The main focus areas of the subsector are improving access to potable water supply and sanitation services; expanding climate resilient potable water supply systems; ensuring the sustainability of existing potable water supply facilities; harnessing renewable energy as an alternative source of energy for organizations engaged in supplying potable water in rural areas; strengthening urban sewerage disposal systems by building the necessary infrastructure facilities;,"Promote and enforce safe human excreta disposal and functional improved latrines in communities

Promote and enforce hazardous waste management in health facilities","strengthening urban sewerage disposal systems by building the necessary infrastructure facilities; 
'To build integrated basic sewerage systems for 100 cities and ensure all rural villages to have access to toilets;",AMR: Antimicrobial resistance prevention and containment strategic plan: The One Health approach (3rd edition 2021-2025); SDGs: Ten years development plan: A pathway to prosperity 2021-2030
P016,amr03,sdg06,AMR-SDG,Ethiopia,Environment & Climate Action,Implementation,Align,Indirect,TRUE,"Policy 2's investment in urban sewerage systems, integrated sewer networks for cities, and expanded toilet access in rural areas provides the physical infrastructure that makes Policy 1's enforcement of safe excreta disposal and latrine use feasible.",Waste management compliance versus development targets,"Promote, implement and enforce proper waste management at the community level",The main focus areas of the subsector are improving access to potable water supply and sanitation services; expanding climate resilient potable water supply systems; ensuring the sustainability of existing potable water supply facilities; harnessing renewable energy as an alternative source of energy for organizations engaged in supplying potable water in rural areas; strengthening urban sewerage disposal systems by building the necessary infrastructure facilities;,"Promote and enforce safe human excreta disposal and functional improved latrines in communities

Promote and enforce hazardous waste management in health facilities","strengthening urban sewerage disposal systems by building the necessary infrastructure facilities; 
'To build integrated basic sewerage systems for 100 cities and ensure all rural villages to have access to toilets;",AMR: Antimicrobial resistance prevention and containment strategic plan: The One Health approach (3rd edition 2021-2025); SDGs: Ten years development plan: A pathway to prosperity 2021-2030
P017,amr01,amr04,AMR-AMR,Ethiopia,Human health & Care Systems,Objective,Align,Direct,TRUE,"Both policies aim to reduce inappropriate antimicrobial prescribing by strengthening the competence and behaviors of prescribers: Policy 1 does so by embedding antimicrobial use, resistance and stewardship in pre-service and in-service training, while Policy 2 ensures optimal prescribing through institutionalizing stewardship frameworks and evidence-based guidelines.",Clinical autonomy versus stewardship guidelines,Develop and implement regular and need based pre–graduation and in-service training and continuous professional development programmes,"Ensure optimal prescribing, dispensing and use of antimicrobials in the human health sector","Conduct training on responsible prescribing, dispensing, use, and administration practices for human and animal health care professionals including for health and agriculture extension workers 

Facilitate and provide a pre-graduation training on anti-microbial use, resistance and stewardship and infection prevention and control for human and animal health professionals 

Incorporate antimicrobial use, resistance and stewardship 
and infection prevention and control modules and trainings

Incorporate antimicrobial resistance in course contents 
of TVET, undergraduate and postgraduate curriculum of 
human, animal and environment professionals","Integrate antimicrobial stewardship into the Hospitals Services Transformation Guideline and the Ethiopian Health Center Reform Implementation Guideline 
Ensure implementation of antimicrobial stewardship in health care facilities
Ensure the availability and monitor compliance with updated and evidence-based guidelines, policies, manuals and formularies for prescribing and dispensing practices 
",AMR: Antimicrobial resistance prevention and containment strategic plan: The One Health approach (3rd edition 2021-2025)
P018,amr01,amr04,AMR-AMR,Ethiopia,Human health & Care Systems,Implementation,Align,Direct,TRUE,The trainings and curriculum modules under AMR-01 equip health professionals with the competencies needed to adhere to stewardship guidelines introduced by AMR-04.,Clinical autonomy versus stewardship guidelines,Develop and implement regular and need based pre–graduation and in-service training and continuous professional development programmes,"Ensure optimal prescribing, dispensing and use of antimicrobials in the human health sector","Conduct training on responsible prescribing, dispensing, use, and administration practices for human and animal health care professionals including for health and agriculture extension workers 

Facilitate and provide a pre-graduation training on anti-microbial use, resistance and stewardship and infection prevention and control for human and animal health professionals 

Incorporate antimicrobial use, resistance and stewardship 
and infection prevention and control modules and trainings

Incorporate antimicrobial resistance in course contents 
of TVET, undergraduate and postgraduate curriculum of 
human, animal and environment professionals","Integrate antimicrobial stewardship into the Hospitals Services Transformation Guideline and the Ethiopian Health Center Reform Implementation Guideline 
Ensure implementation of antimicrobial stewardship in health care facilities
Ensure the availability and monitor compliance with updated and evidence-based guidelines, policies, manuals and formularies for prescribing and dispensing practices 
",AMR: Antimicrobial resistance prevention and containment strategic plan: The One Health approach (3rd edition 2021-2025)
P019,sdg01,sdg02,SDG-SDG,Ethiopia,"Economy, Poverty & Equity",Objective,Align,Direct,TRUE,"Both policies seek to reduce poverty and improve livelihoods among vulnerable groups, thereby addressing individual socio-demographic risk factors for AMR.",Equity in access versus regulatory enforcement,"The principal objectives of the urban development plan are to ...; to create job opportunities; to make residential areas conducive for living by designing an efficient system of land and housing provision; to develop integrated and standard infrastructure and services; to improve greening and sanitation services so that cities/towns are liveable and resilient to economic, social, environmental and ecological shocks

Particular  attention will be given to strengthening the overall system of social welfare and   social protection in favour of women, children, the youth, the elderly, persons with   disabilities and other vulnerable citizens

The principal objectives of the social justice and social security development plan are to develop the overall capacity of women, children, the youth, the elderly,   people with disabilities and all vulnerable citizens and groups, and facilitate their   all-rounded participation in the country's economic, social, and cultural affairs in   an organized and coordinated institutional manner, and also to ensure that they   get their fair share from the development endeavours.",The main objectives of the agricultural development plan are to raise the incomes and livelihoods of farmers and pastoralists and end poverty by making agriculture more productive and competitive,"- Incorprate poverty alleviation into urban development plan, Prioritize government budget allocation for poverty reduction activity
1. Employment Support: Increase job placements from 1.96 million to 20 million.
2. Safety Net Programs: Expand coverage for vulnerable groups, including persons with disabilities, the elderly, and street dwellers, from 1.3 million to 1.53 million.
8. Social Safety Net and Services: Enable 689,000 people, including vulnerable groups, to benefit from social safety nets and basic services, with a focus on women, children, youth, the elderly, and persons with disabilities.
3. Social Security for Street Dwellers: Provide basic social security services to 219,000 street dwellers.
6. Pension Scheme Revenue: Raise revenue from pension schemes from birr 43.9 billion to birr 231 billion.
7. Investment of Pension Funds: Invest pension funds in profitable businesses to increase dividends from birr 1.4 billion to birr 39 billion.
4. Rehabilitation for the Elderly: Offer social rehabilitation services to 289,148 elderly individuals living below the poverty line.
5. Insurance Scheme Subscriptions: Increase subscriptions for employees in private organizations from 1.7 million to 3.1 million.
Engage 3.62 million urban dwellers living below the poverty line in community works to improve urban areas
improve the incomes and livelihoods of farmers and pastoralists to eradicate poverty.",Increase agriculture production and income for farmer,SDGs: Ten years development plan: A pathway to prosperity 2021-2030
P020,sdg01,sdg02,SDG-SDG,Ethiopia,"Economy, Poverty & Equity",Implementation,Align,Direct,TRUE,"SDG-01's expanded safety nets, employment support, community works and targeted social services strengthen the capacity and resilience of rural households, facilitating farmers' ability to adopt productivity-enhancing measures under SDG-02.",Equity in access versus regulatory enforcement,"The principal objectives of the urban development plan are to ...; to create job opportunities; to make residential areas conducive for living by designing an efficient system of land and housing provision; to develop integrated and standard infrastructure and services; to improve greening and sanitation services so that cities/towns are liveable and resilient to economic, social, environmental and ecological shocks

Particular  attention will be given to strengthening the overall system of social welfare and   social protection in favour of women, children, the youth, the elderly, persons with   disabilities and other vulnerable citizens

The principal objectives of the social justice and social security development plan are to develop the overall capacity of women, children, the youth, the elderly,   people with disabilities and all vulnerable citizens and groups, and facilitate their   all-rounded participation in the country's economic, social, and cultural affairs in   an organized and coordinated institutional manner, and also to ensure that they   get their fair share from the development endeavours.",The main objectives of the agricultural development plan are to raise the incomes and livelihoods of farmers and pastoralists and end poverty by making agriculture more productive and competitive,"- Incorprate poverty alleviation into urban development plan, Prioritize government budget allocation for poverty reduction activity
1. Employment Support: Increase job placements from 1.96 million to 20 million.
2. Safety Net Programs: Expand coverage for vulnerable groups, including persons with disabilities, the elderly, and street dwellers, from 1.3 million to 1.53 million.
8. Social Safety Net and Services: Enable 689,000 people, including vulnerable groups, to benefit from social safety nets and basic services, with a focus on women, children, youth, the elderly, and persons with disabilities.
3. Social Security for Street Dwellers: Provide basic social security services to 219,000 street dwellers.
6. Pension Scheme Revenue: Raise revenue from pension schemes from birr 43.9 billion to birr 231 billion.
7. Investment of Pension Funds: Invest pension funds in profitable businesses to increase dividends from birr 1.4 billion to birr 39 billion.
4. Rehabilitation for the Elderly: Offer social rehabilitation services to 289,148 elderly individuals living below the poverty line.
5. Insurance Scheme Subscriptions: Increase subscriptions for employees in private organizations from 1.7 million to 3.1 million.
Engage 3.62 million urban dwellers living below the poverty line in community works to improve urban areas
improve the incomes and livelihoods of farmers and pastoralists to eradicate poverty.",Increase agriculture production and income for farmer,SDGs: Ten years development plan: A pathway to prosperity 2021-2030
P021,sdg01,sdg04,SDG-SDG,Ethiopia,"Economy, Poverty & Equity",Objective,Align,Direct,TRUE,"Both policies target the same AMR driver (individual socio-demographic factors) by improving economic security, social protection and human capital.",Equity in access versus regulatory enforcement,"The principal objectives of the urban development plan are to ...; to create job opportunities; to make residential areas conducive for living by designing an efficient system of land and housing provision; to develop integrated and standard infrastructure and services; to improve greening and sanitation services so that cities/towns are liveable and resilient to economic, social, environmental and ecological shocks

Particular  attention will be given to strengthening the overall system of social welfare and   social protection in favour of women, children, the youth, the elderly, persons with   disabilities and other vulnerable citizens

The principal objectives of the social justice and social security development plan are to develop the overall capacity of women, children, the youth, the elderly,   people with disabilities and all vulnerable citizens and groups, and facilitate their   all-rounded participation in the country's economic, social, and cultural affairs in   an organized and coordinated institutional manner, and also to ensure that they   get their fair share from the development endeavours.","The population and human resources development plan aim to develop an all-rounded human resource capacity. This will be achieved through the provision of equitable access to health and education services as well as ensuring quality and relevance which will form the primary area of focus for the coming ten years.

promoting the integration of population issues into the overall development initiative of the country through information, education, communication and advocacy; ","- Incorprate poverty alleviation into urban development plan, Prioritize government budget allocation for poverty reduction activity
1. Employment Support: Increase job placements from 1.96 million to 20 million.
2. Safety Net Programs: Expand coverage for vulnerable groups, including persons with disabilities, the elderly, and street dwellers, from 1.3 million to 1.53 million.
8. Social Safety Net and Services: Enable 689,000 people, including vulnerable groups, to benefit from social safety nets and basic services, with a focus on women, children, youth, the elderly, and persons with disabilities.
3. Social Security for Street Dwellers: Provide basic social security services to 219,000 street dwellers.
6. Pension Scheme Revenue: Raise revenue from pension schemes from birr 43.9 billion to birr 231 billion.
7. Investment of Pension Funds: Invest pension funds in profitable businesses to increase dividends from birr 1.4 billion to birr 39 billion.
4. Rehabilitation for the Elderly: Offer social rehabilitation services to 289,148 elderly individuals living below the poverty line.
5. Insurance Scheme Subscriptions: Increase subscriptions for employees in private organizations from 1.7 million to 3.1 million.
Engage 3.62 million urban dwellers living below the poverty line in community works to improve urban areas
improve the incomes and livelihoods of farmers and pastoralists to eradicate poverty.","To increase access to every format of educational and trainings (primary school, high school, vocational school, etc.) for everyone
",SDGs: Ten years development plan: A pathway to prosperity 2021-2030
P022,sdg01,sdg04,SDG-SDG,Ethiopia,"Economy, Poverty & Equity",Implementation,Align,Direct,TRUE,"The roll-out of social safety nets, employment support and community works (SDG-01) lowers financial and social barriers to school and training attendance, directly supporting SDG-04's expansion of educational access.",Equity in access versus regulatory enforcement,"The principal objectives of the urban development plan are to ...; to create job opportunities; to make residential areas conducive for living by designing an efficient system of land and housing provision; to develop integrated and standard infrastructure and services; to improve greening and sanitation services so that cities/towns are liveable and resilient to economic, social, environmental and ecological shocks

Particular  attention will be given to strengthening the overall system of social welfare and   social protection in favour of women, children, the youth, the elderly, persons with   disabilities and other vulnerable citizens

The principal objectives of the social justice and social security development plan are to develop the overall capacity of women, children, the youth, the elderly,   people with disabilities and all vulnerable citizens and groups, and facilitate their   all-rounded participation in the country's economic, social, and cultural affairs in   an organized and coordinated institutional manner, and also to ensure that they   get their fair share from the development endeavours.","The population and human resources development plan aim to develop an all-rounded human resource capacity. This will be achieved through the provision of equitable access to health and education services as well as ensuring quality and relevance which will form the primary area of focus for the coming ten years.

promoting the integration of population issues into the overall development initiative of the country through information, education, communication and advocacy; ","- Incorprate poverty alleviation into urban development plan, Prioritize government budget allocation for poverty reduction activity
1. Employment Support: Increase job placements from 1.96 million to 20 million.
2. Safety Net Programs: Expand coverage for vulnerable groups, including persons with disabilities, the elderly, and street dwellers, from 1.3 million to 1.53 million.
8. Social Safety Net and Services: Enable 689,000 people, including vulnerable groups, to benefit from social safety nets and basic services, with a focus on women, children, youth, the elderly, and persons with disabilities.
3. Social Security for Street Dwellers: Provide basic social security services to 219,000 street dwellers.
6. Pension Scheme Revenue: Raise revenue from pension schemes from birr 43.9 billion to birr 231 billion.
7. Investment of Pension Funds: Invest pension funds in profitable businesses to increase dividends from birr 1.4 billion to birr 39 billion.
4. Rehabilitation for the Elderly: Offer social rehabilitation services to 289,148 elderly individuals living below the poverty line.
5. Insurance Scheme Subscriptions: Increase subscriptions for employees in private organizations from 1.7 million to 3.1 million.
Engage 3.62 million urban dwellers living below the poverty line in community works to improve urban areas
improve the incomes and livelihoods of farmers and pastoralists to eradicate poverty.","To increase access to every format of educational and trainings (primary school, high school, vocational school, etc.) for everyone
",SDGs: Ten years development plan: A pathway to prosperity 2021-2030
